Mine Portal;Level;Orebody Thickness;Stope Surface;Surface Dip;Height;Span;Length;HR;Q';A;B;C;N';Status
PAB;2000;11.9;Back;90;30;11.9;20;3.7;4.7;1;1;1;4.7;Unstable
PAB;2000;11.9;VerticalEnd;90;30;11.9;30;4.3;4.7;1;1;8;37.6;Stable
PAB;2000;11.9;HangingWall;90;30;20;30;6;1.5;1;0.5;8;6;Unstable
PAB;2000;11.9;FootWall;90;30;20;30;6;4.7;1;0.8;8;30.1;Stable
PAB;2000;22.3;Back;90;30;22.3;43;7.3;4.7;1;1;1;4.7;Unstable
PAB;2000;22.3;VerticalEnd;90;30;22.3;30;6.4;4.7;1;1;8;37.6;Stable
PAB;2000;22.3;HangingWall;90;30;30;43;8.8;1.5;1;0.5;8;6;Caved
PAB;2000;22.3;FootWall;90;30;30;43;8.8;4.7;1;0.8;8;30.1;Unstable
PAB;2000;10;Back;90;30;10;20;3.3;4.7;1;1;1;4.7;Stable
PAB;2000;10;VerticalEnd;90;30;10;30;3.8;4.7;1;1;8;37.6;Stable
PAB;2000;10;HangingWall;90;30;20;30;6;1.5;1;0.5;8;6;Unstable
PAB;2000;10;FootWall;90;30;20;30;6;4.7;1;0.8;8;30.1;Stable
PAB;2000;27;Back;90;30;27;26;6.6;4.7;1;1;1;4.7;Unstable
PAB;2000;27;VerticalEnd;90;30;27;30;7.1;4.7;1;1;8;37.6;Stable
PAB;2000;27;HangingWall;90;30;26;30;7;1.5;1;0.5;8;6;Unstable
PAB;2000;27;FootWall;90;30;26;30;7;4.7;1;0.8;8;30.1;Stable
PAB;2000;9.2;Back;90;30;9.2;20;3.2;4.7;1;1;1;4.7;Stable
PAB;2000;9.2;VerticalEnd;90;30;9.2;30;3.5;4.7;1;1;8;37.6;Stable
PAB;2000;9.2;HangingWall;90;30;20;30;6;1.5;1;0.5;8;6;Unstable
PAB;2000;9.2;FootWall;90;30;20;30;6;4.7;1;0.8;8;30.1;Stable
PAB;2000;6.4;Back;90;30;6.4;43;2.8;4.7;1;1;1;4.7;Stable
PAB;2000;6.4;VerticalEnd;90;30;6.4;30;2.6;4.7;1;1;8;37.6;Stable
PAB;2000;6.4;HangingWall;90;30;30;43;8.8;1.5;1;0.5;8;6;Caved
PAB;2000;6.4;FootWall;90;30;30;43;8.8;4.7;1;0.8;8;30.1;Unstable
PAB;2000;5.2;Back;90;30;5.2;38;2.3;4.7;1;1;1;4.7;Stable
PAB;2000;5.2;VerticalEnd;90;30;5.2;30;2.2;4.7;1;1;8;37.6;Stable
PAB;2000;5.2;HangingWall;90;30;30;38;8.4;0.2;1;0.5;8;0.8;Caved
PAB;2000;5.2;FootWall;90;30;30;38;8.4;4.7;1;0.8;8;30.1;Unstable
PAB;2000;6;Back;90;30;6;85;2.8;4.7;1;1;1;4.7;Stable
PAB;2000;6;VerticalEnd;90;30;6;30;2.5;4.7;1;1;8;37.6;Stable
PAB;2000;6;HangingWall;90;30;30;85;11.1;0.1;1;0.5;8;0.4;Caved
PAB;2000;6;FootWall;90;30;30;85;11.1;4.7;1;0.8;8;30.1;Unstable
PAB;2025;6.2;Back;90;30;6.2;30.2;2.6;4.7;1;1;1;4.7;Stable
PAB;2025;6.2;VerticalEnd;90;30;6.2;22;2.4;4.7;1;1;8;37.6;Stable
PAB;2025;6.2;HangingWall;90;30;22;30.2;6.4;1.5;1;0.5;8;6;Unstable
PAB;2025;6.2;FootWall;90;30;22;30.2;6.4;4.7;1;0.8;8;30.1;Stable
PAB;2025;6.6;Back;90;30;6.6;20;2.5;4.7;1;1;1;4.7;Stable
PAB;2025;6.6;VerticalEnd;90;30;6.6;30;2.7;4.7;1;1;8;37.6;Stable
PAB;2025;6.6;HangingWall;90;30;20;30;6;2.7;1;0.5;8;10.8;Unstable
PAB;2025;6.6;FootWall;90;30;20;30;6;4.7;1;0.8;8;30.1;Stable
PAB;2025;13;Back;90;30;13;10;2.8;4.7;1;1;1;4.7;Stable
PAB;2025;13;VerticalEnd;90;30;13;30;4.5;4.7;1;1;8;37.6;Stable
PAB;2025;13;HangingWall;90;30;10;30;3.8;2.7;1;0.5;8;10.8;Stable
PAB;2025;13;FootWall;90;30;10;30;3.8;4.7;1;0.8;8;30.1;Stable
PAB;2025;19;Back;90;30;19;46;6.7;4.7;1;1;1;4.7;Unstable
PAB;2025;19;VerticalEnd;90;30;19;30;5.8;4.7;1;1;8;37.6;Stable
PAB;2025;19;HangingWall;90;30;30;46;9.1;2.7;1;0.5;8;10.8;Unstable
PAB;2025;19;FootWall;90;30;30;46;9.1;4.7;1;0.8;8;30.1;Unstable
PAB;2025;7.2;Back;90;60;7.2;60;3.2;4.7;1;1;1;4.7;Stable
PAB;2025;7.2;VerticalEnd;90;60;7.2;61;3.2;4.7;1;1;8;37.6;Stable
PAB;2025;7.2;HangingWall;90;60;61;35;11.1;1.5;1;0.5;8;6;Caved
PAB;2025;7.2;FootWall;90;60;61;35;11.1;2.7;1;0.8;8;17.3;Caved
PAB;2025;8.1;Back;90;60;8.1;43;3.4;4.7;1;1;1;4.7;Stable
PAB;2025;8.1;VerticalEnd;90;60;8.1;60;3.6;4.7;1;1;8;37.6;Stable
PAB;2025;8.1;HangingWall;90;60;61;43;12.6;1.5;1;0.5;8;6;Caved
PAB;2025;8.1;FootWall;90;60;61;43;12.6;2.7;1;0.8;8;17.3;Caved
PAB;2025;7;Back;90;60;7;83;3.2;4.7;1;1;1;4.7;Unstable
PAB;2025;7;VerticalEnd;90;60;7;60;3.1;4.7;1;1;8;37.6;Stable
PAB;2025;7;HangingWall;90;60;61;83;17.6;1.5;1;0.5;8;6;Caved
PAB;2025;7;FootWall;90;60;61;83;17.6;2.7;1;0.8;8;17.3;Caved
PAB;2050;9.5;Back;90;30;9.5;30;3.6;4.7;1;1;1;4.7;Stable
PAB;2050;9.5;VerticalEnd;90;30;9.5;30;3.6;4.7;1;1;8;37.6;Stable
PAB;2050;9.5;HangingWall;90;30;30;20;6;1.5;1;0.5;8;6;Unstable
PAB;2050;9.5;FootWall;90;30;30;20;6;2.7;1;0.8;8;17.3;Stable
PAB;2050;6.6;Back;90;30;6.6;20;2.5;4.7;1;1;1;4.7;Stable
PAB;2050;6.6;VerticalEnd;90;30;6.6;30;2.7;4.7;1;1;8;37.6;Stable
PAB;2050;6.6;HangingWall;90;30;30;20;6;2.7;1;0.5;8;10.8;Unstable
PAB;2050;6.6;FootWall;90;30;30;20;6;4.7;1;0.8;8;30.1;Stable
PAB;2050;5.6;Back;90;30;5.6;30;2.4;4.7;1;1;1;4.7;Stable
PAB;2050;5.6;VerticalEnd;90;30;5.6;30;2.4;4.7;1;1;8;37.6;Stable
PAB;2050;5.6;HangingWall;90;30;30;30;7.5;2.7;1;0.5;8;10.8;Unstable
PAB;2050;5.6;FootWall;90;30;30;30;7.5;4.7;1;0.8;8;30.1;Stable
PAB;2100;9.3;Back;90;30;9.3;43;3.8;4.7;1;1;1;4.7;Stable
PAB;2100;9.3;VerticalEnd;90;30;9.3;30;3.6;4.7;1;1;8;37.6;Stable
PAB;2100;9.3;HangingWall;90;30;30;43;8.8;2.7;1;0.5;8;10.8;Unstable
PAB;2100;9.3;FootWall;90;30;30;43;8.8;4.7;1;0.8;8;30.1;Unstable
PAB;2100;12;Back;90;30;12;35;4.5;4.7;1;1;1;4.7;Unstable
PAB;2100;12;VerticalEnd;90;30;12;30;4.3;4.7;1;1;8;37.6;Stable
PAB;2100;12;HangingWall;90;30;30;35;8.1;1.5;1;0.5;8;6;Caved
PAB;2100;12;FootWall;90;30;30;35;8.1;4.7;1;0.8;8;30.1;Unstable
PAB;2100;18;Back;90;30;18;60;6.9;71.3;1;1;1;71.3;Stable
PAB;2100;18;VerticalEnd;90;30;18;30;5.6;71.3;1;1;8;570;Stable
PAB;2100;18;HangingWall;90;30;30.5;60;10.1;8.1;1;0.5;8;32.5;Unstable
PAB;2100;18;FootWall;90;30;30.5;60;10.1;4.7;1;0.8;8;30.1;Unstable
PAB;2100;17;Back;90;30;17;60;6.6;71.3;1;1;1;71.3;Stable
PAB;2100;17;VerticalEnd;90;30;17;30;5.4;71.3;1;1;8;570;Stable
PAB;2100;17;HangingWall;90;30;31;60;10.2;8;1;0.5;8;32;Unstable
PAB;2100;17;FootWall;90;30;31;60;10.2;4.5;1;0.8;8;28.8;Unstable
PAB;2100;18;Back;90;30;18;60;6.9;71.2;1;1;1;71.2;Stable
PAB;2100;18;VerticalEnd;90;30;18;30;5.6;71.2;1;1;8;569.6;Stable
PAB;2100;18;HangingWall;90;30;33;60;10.6;7.9;1;0.5;8;31.6;Unstable
PAB;2100;18;FootWall;90;30;33;60;10.6;4.7;1;0.8;8;30.1;Stable
PAB;2125;17;Back;90;30;17;65;6.7;71.3;1;1;1;71.3;Stable
PAB;2125;17;VerticalEnd;90;30;17;30;5.4;71.3;0.8;1;8;437.7;Unstable
PAB;2125;17;HangingWall;90;30;30.5;65;10.4;6;1;0.8;6.8;32.6;Unstable
PAB;2125;17;FootWall;90;30;30.5;65;10.4;13;1;0.5;8;52;Stable
PAB;2125;6.6;Back;90;30;6.6;52;2.9;3;1;1;1;3;Stable
PAB;2125;6.6;VerticalEnd;90;30;6.6;30;2.7;3;1;1;8;24;Stable
PAB;2125;6.6;HangingWall;78;30;30;52;9.5;6;0.5;0.5;6.8;10.2;Stable
PAB;2125;6.6;FootWall;90;30;30;52;9.5;13;0.5;0.5;8;26;Stable
PAB;2150;8.1;Back;90;30;8.1;52;3.5;4.7;1;1;8;37.6;Stable
PAB;2150;8.1;VerticalEnd;90;30;8.1;30;3.2;4.7;1;1;8;37.6;Stable
PAB;2150;8.1;HangingWall;90;30;30;52;9.5;2.7;1;0.5;8;10.8;Caved
PAB;2150;8.1;FootWall;90;30;30;52;9.5;4.7;1;0.8;8;30.1;Unstable
PAB;2150;13;Back;90;30;13;50;5.2;4.7;1;1;1;4.7;Unstable
PAB;2150;13;VerticalEnd;90;30;13;30;4.5;8.3;1;1;8;66.4;Stable
PAB;2150;13;HangingWall;90;30;30;50;9.4;0.1;1;0.5;8;0.4;Caved
PAB;2150;13;FootWall;90;30;30;50;9.4;4.7;1;0.8;8;30.1;Unstable
PAB;2150;13;Back;90;30;13;50;5.2;4.7;1;1;1;4.7;Unstable
PAB;2150;13;VerticalEnd;90;30;13;30;4.5;8.3;1;1;8;66.4;Stable
PAB;2150;13;HangingWall;90;30;30;50;9.4;0.1;1;0.5;8;0.4;Caved
PAB;2150;13;FootWall;90;30;30;50;9.4;4.7;1;0.8;8;30.1;Unstable
PAB;2200;15;Back;90;107;15;60;6;2.7;1;1;8;21.6;Stable
PAB;2200;15;VerticalEnd;90;107;15;105;6.6;2.7;1;1;8;21.6;Stable
PAB;2200;15;HangingWall;90;107;107;60;19.2;8.3;1;0.5;8;33.2;Caved
PAB;2200;15;FootWall;90;107;107;60;19.2;4.7;1;0.8;8;30.1;Caved
PAB;2175;7.1;Back;90;30;7.1;65;3.2;2.7;1;1;1;2.7;Unstable
PAB;2175;7.1;VerticalEnd;90;30;7.1;30;2.9;2.7;1;1;8;21.6;Stable
PAB;2175;7.1;HangingWall;90;30;30;65;10.3;1.5;1;0.5;8;6;Unstable
PAB;2175;7.1;FootWall;90;30;30;65;10.3;4.7;1;0.8;8;30.1;Caved
PAB;2175;9.2;Back;90;30;9.2;55;3.9;8.3;1;1;1;8.3;Stable
PAB;2175;9.2;VerticalEnd;90;30;9.2;30;3.5;8.3;1;1;8;66.4;Stable
PAB;2175;9.2;HangingWall;90;30;30;55;9.7;2.7;1;0.5;8;10.8;Unstable
PAB;2175;9.2;FootWall;90;30;30;55;9.7;8.3;1;0.8;8;53.1;Unstable
PAB;2175;12.5;Back;90;30;12.5;40;4.8;8.3;1;1;1;8.3;Stable
PAB;2175;12.5;VerticalEnd;90;30;12.5;30;4.4;8.3;1;1;8;66.4;Stable
PAB;2175;12.5;HangingWall;90;30;30;40;8.6;2.7;1;0.5;8;10.8;Unstable
PAB;2175;12.5;FootWall;90;30;30;40;8.6;8.3;1;0.8;8;53.1;Stable
PAB;2175;12.2;Back;90;30;12.2;40;4.7;8.3;1;1;1;8.3;Stable
PAB;2175;12.2;VerticalEnd;90;30;12.2;30;4.3;8.3;1;1;8;66.4;Stable
PAB;2175;12.2;HangingWall;90;30;30;40;8.6;4.7;1;0.5;8;18.8;Unstable
PAB;2175;12.2;FootWall;90;30;30;40;8.6;2.7;1;0.8;8;17.3;Unstable
GAR;335L;10.2;FootWall;63;24;24;34;7;14.9;0.4;0.3;4.8;8.6;Caved
GAR;385L;6;FootWall;65;26;26;33;7.3;17.1;0.5;0.3;4.5;10.4;Unstable
GAR;285L;12;FootWall;81;27;27;38;7.9;25.4;0.6;0.3;2.7;12.3;Unstable
GAR;435L;6;FootWall;87;26;26;30;7;14.4;0.8;0.2;7.7;17.5;Unstable
GAR;235L;9;FootWall;79;25;25;34;7.2;29.8;1;0.3;6.7;55.8;Stable
GAR;435L;4;FootWall;72;26;26;22;6;17;0.6;0.3;6.2;16.4;Stable
GAR;435L;9.3;FootWall;56;31;31;27;7.2;36.6;0.3;0.3;4.6;12.8;Unstable
GAR;410L;6;FootWall;58;32;32;35;8.4;17.1;0.4;0.3;4.8;9.7;Caved
GAR;335L;12.7;FootWall;64;23;23;38;7.2;18;0.6;0.2;5.4;10.8;Unstable
GAR;335L;10;FootWall;80;25;25;30;6.8;13.4;0.5;0.3;3.1;5.7;Unstable
GAR;360L;6.7;FootWall;53;26;26;38;7.7;8.9;0.6;0.3;4.4;6.4;Caved
GAR;385L;7.7;FootWall;84;26;26;34;7.4;11.7;0.4;0.2;7.4;7.6;Unstable
GAR;485L;6;FootWall;61;27;27;35;7.6;18.5;0.3;0.3;5.1;7.4;Unstable
GAR;510L;5;FootWall;67;27;27;32;7.3;24.7;0.6;0.3;5.7;25.9;Stable
GAR;360L;15;FootWall;65;29;29;41;8.5;18.3;0.4;0.3;5.5;11.4;Unstable
GAR;235L;9;FootWall;82;25;25;40;7.7;21.4;0.8;0.2;3.9;13.3;Unstable
GAR;385L;9;FootWall;74;26;26;34;7.4;27.9;0.8;0.2;5.9;26;Stable
GAR;410L;8;FootWall;71;26;26;31;7.1;13.1;0.8;0.3;3.5;9.5;Unstable
GAR;385L;9.5;FootWall;53;30;30;30;7.5;8.7;0.8;0.2;4.4;7.4;Unstable
GAR;360L;9;FootWall;62;32;32;28;7.5;36.4;0.8;0.2;5.2;30.1;Stable
GAR;335L;10.2;HangingWall;63;24;24;34;7;5.4;0.7;0.3;4.8;5.4;Caved
GAR;385L;6;HangingWall;65;26;26;33;7.3;6.4;0.6;0.3;5.5;6.3;Caved
GAR;285L;12;HangingWall;81;27;27;38;7.9;3.8;0.6;0.3;7.1;4.5;Caved
GAR;435L;6;HangingWall;87;26;26;30;7;6.8;1;0.2;3.5;4.8;Caved
GAR;235L;9;HangingWall;79;25;25;34;7.2;6.5;0.8;0.3;3.3;4.9;Caved
GAR;435L;4;HangingWall;72;26;26;22;6;11.6;0.5;0.3;3.6;5.9;Unstable
GAR;435L;9.3;HangingWall;56;31;31;27;7.2;34.7;0.7;0.3;5.5;36;Stable
GAR;410L;6;HangingWall;58;32;32;35;8.4;34.1;0.5;0.3;5;23.9;Unstable
GAR;335L;12.7;HangingWall;64;23;23;38;7.2;9.8;0.6;0.2;3.5;4.1;Caved
GAR;335L;10;HangingWall;80;25;25;30;6.8;7.4;0.6;0.3;7;8.4;Unstable
GAR;360L;6.7;HangingWall;53;26;26;38;7.7;5.3;0.6;0.3;5.6;5.5;Caved
GAR;385L;7.7;HangingWall;84;26;26;34;7.4;17.8;0.4;0.2;4.7;7;Unstable
GAR;485L;6;HangingWall;61;27;27;35;7.6;10.1;0.5;0.3;5;7.3;Unstable
GAR;510L;5;HangingWall;67;27;27;32;7.3;22.8;0.4;0.3;4.4;11.1;Unstable
GAR;360L;15;HangingWall;65;29;29;41;8.5;7.7;0.5;0.3;4.5;4.7;Caved
GAR;235L;9;HangingWall;82;25;25;40;7.7;9.9;0.7;0.2;3.9;5;Caved
GAR;385L;9;HangingWall;74;26;26;34;7.4;8.7;0.3;0.2;6.4;3.5;Caved
GAR;410L;8;HangingWall;71;26;26;31;7.1;11.1;0.7;0.3;3.5;6.6;Unstable
GAR;385L;9.5;HangingWall;53;30;30;30;7.5;12.4;0.7;0.2;5.1;9.8;Unstable
GAR;360L;9;HangingWall;62;32;32;28;7.5;15.4;0.7;0.2;3.7;7.4;Unstable
YAL;283L;22;HangingWall;75;25;25;30;6.8;46;0.6;0.2;3.5;19.3;Unstable
YAL;283L;22;FootWall;75;25;25;30;6.8;32;0.6;0.2;3.5;13.4;Unstable
YAL;308L;28;HangingWall;66;25;25;30;6.8;44;0.8;0.2;4.4;31;Stable
YAL;308L;28;FootWall;66;25;25;30;6.8;25;0.8;0.2;4.4;17.6;Unstable
YAL;308L;30;HangingWall;79;25;25;20;5.6;38;1;0.3;3.1;35.3;Stable
YAL;308L;30;FootWall;79;25;25;20;5.6;25.6;1;0.3;3.1;23.8;Stable
YAL;383L;17;HangingWall;84;24;24;51;8.2;39;0.8;0.3;6.8;63.6;Stable
YAL;383L;17;FootWall;84;24;24;51;8.2;29;0.8;0.3;6.8;47.3;Unstable
YAL;408L;9;HangingWall;65;29;29;30;7.4;32;0.3;0.2;6.2;11.9;Unstable
YAL;408L;9;FootWall;65;29;29;30;7.4;18;0.3;0.2;6.2;6.7;Unstable
YAL;433L;22;HangingWall;72;25;25;51;8.4;14.9;0.6;0.2;7.4;13.2;Caved
YAL;433L;22;FootWall;72;25;25;51;8.4;21.1;0.6;0.2;7.4;18.7;Unstable
YAL;458L;13;HangingWall;71;28;28;55;9.3;27.3;0.8;0.2;3.9;17;Unstable
YAL;458L;13;FootWall;71;28;28;55;9.3;12.1;0.9;0.2;3.9;8.5;Caved
YAL;458L;6;HangingWall;63;26;26;41.5;8;12;0.6;0.2;4.7;6.8;Caved
YAL;458L;6;FootWall;63;26;26;41.5;8;3.4;0.6;0.2;4.7;1.9;Caved
YAL;458L;15;HangingWall;57;25;25;35;7.3;20;1;0.3;5;30;Stable
YAL;458L;15;FootWall;57;25;25;35;7.3;12;1;0.3;5;18;Unstable
YAL;483L;3;HangingWall;81;25;25;30;6.8;31;0.3;0.3;2.9;8.1;Unstable
YAL;483L;3;FootWall;81;25;25;30;6.8;9;0.3;0.3;2.9;2.3;Caved
YAL;483L;11;HangingWall;68;25;25;35;7.3;10;0.9;0.2;6.4;11.5;Unstable
YAL;483L;11;FootWall;68;25;25;35;7.3;7;0.9;0.2;6.4;8.1;Caved
YAL;508L;8;HangingWall;75;25;25;55;8.6;17.4;0.5;0.3;6.7;17.5;Unstable
YAL;508L;8;FootWall;75;25;25;55;8.6;19.7;0.6;0.3;6.7;23.8;Unstable
YAL;508L;4;HangingWall;60;25;25;31;6.9;25;0.2;0.2;7.2;7.2;Unstable
YAL;508L;4;FootWall;60;25;25;31;6.9;9;0.2;0.2;7.2;2.6;Caved
YAL;508L;5;HangingWall;79;26;26;30;7;20;0.5;0.2;3.1;6.2;Unstable
YAL;508L;5;FootWall;79;26;26;30;7;12;0.5;0.2;3.1;3.7;Caved
YAL;533L;5;HangingWall;84;25;25;35;7.3;14;0.3;0.3;7.2;9.1;Unstable
YAL;533L;5;FootWall;84;25;25;35;7.3;28;0.3;0.3;7.2;18.1;Unstable
YAL;283;18;HangingWall;88;15;15;55;5.9;12;0.6;0.3;7.3;15.8;Stable
YAL;283;18;FootWall;88;15;15;55;5.9;13;0.6;0.3;7.3;17.1;Stable
YAL;333;10;HangingWall;87;39;39;45;10.4;17.4;1;0.3;7.7;40.2;Unstable
YAL;333;10;FootWall;87;39;39;45;10.4;16.9;1;0.3;7.7;39;Unstable
YAL;358;12;HangingWall;53;24.5;24.5;35;7.2;16;0.5;0.2;7.4;11.8;Unstable
YAL;358;12;FootWall;53;24.5;24.5;35;7.2;19;0.5;0.2;7.4;14.1;Unstable
SAN;35L;6.2;HangingWall;72;60;6.9;60;3.1;0.9;1;0.2;6.1;1.2;Stable
SAN;35L;6.3;FootWall;70;60;7;58;3.1;1.5;1;0.2;8;2.4;Stable
SAN;35L;5.6;HangingWall;90;23;6.2;31;2.4;2;1;0.3;8;4.6;Stable
SAN;35L;5.5;FootWall;90;23.4;6.1;31;2.4;2;1;0.3;8;4.6;Stable
SAN;35L;8.7;FootWall;70;14;9.7;40;3.9;1.5;1;0.2;8;2.4;Stable
SAN;35L;9;HangingWall;90;13.9;10;32.2;2.9;2;1;0.3;8;4.6;Stable
SAN;35L;8.9;FootWall;90;14;9.9;32.2;2.9;2.9;1;0.3;8;6.7;Stable
SAN;30L;17.1;FootWall;79;23;19;15;4.2;20;1;0.2;8;35.2;Stable
SAN;30L;5.9;FootWall;85;30;6.6;30;2.7;8.8;1;0.2;7.5;13.2;Stable
SAN;30L;5.9;HangingWall;85;30;6.6;30;2.7;3.5;1;0.2;7.5;5.3;Stable
SAN;30L;5.2;Back;90;11;5.8;36;1.9;20;1;0.2;2;8;Stable
SAN;30L;10.2;FootWall;85;17.3;11.3;85;5;8.8;1;0.2;7.5;13.2;Stable
SAN;30L;15.1;HangingWall;85;20.3;16.8;41;4.6;3.5;1;0.2;7.5;5.3;Stable
SAN;30L;6.8;Back;90;20.8;7.6;48;3.3;15;1;0.2;2;6;Stable
SAN;30L;17.1;HangingWall;74;23;19;15;4.2;8;1;0.3;5.6;13.4;Stable
SAN;39L;24.2;HangingWall;66;14.4;26.9;15;4.8;1.6;1;0.3;5.6;2.7;Stable
SAN;39L;23.8;FootWall;66;14.4;26.4;15;4.8;3;1;0.3;3.8;3.4;Stable
